Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
3765,C1686,3,7,366,8,8,47,3,1,Area1,1
2987,C1689,4,8,436,7,7,547,4,2,Area1,2
3125,C1690,4,22,103,29,16,819,29,1,Area1,2
2516,C1692,2,6,368,13,11,888,11,1,Area1,1
2876,C1693,4,8,276,14,12,1719,14,1,Area1,2
5438,C1696,4,8,337,21,21,1690,15,1,Area1,3
5406,C1705,4,21,449,19,18,5032,19,2,Area1,3
3020,C1711,4,10,365,11,11,0,4,1,Area1,1
3563,C1714,3,6,395,13,13,2956,13,2,Area1,3
7000,C1715,4,3,125,23,17,367,17,2,Area1,1
2688,C1722,2,5,341,12,12,366,12,2,Area1,3
4721,C1726,4,18,406,17,17,2908,9,2,Area1,1
2500,C1727,3,7,174,13,11,604,13,1,Area1,2
5090,C1728,3,7,469,26,22,904,23,2,Area1,3
3563,C1735,3,7,374,18,14,884,18,2,Area1,1
2581,C1745,2,6,412,9,9,212,9,2,Area1,1
2875,C1749,4,9,415,14,14,690,14,2,Area1,1
3500,C1750,3,6,246,12,11,1529,12,2,Area1,1
6476,C1752,3,6,401,20,21,4271,10,2,Area1,1
4813,C1755,3,5,369,23,23,1539,23,2,Area1,3
2594,C1756,2,6,368,7,7,2242,7,2,Area1,2
3462,C1757,3,7,346,12,11,2152,8,2,Area1,1
2500,C1764,3,10,359,7,7,398,7,2,Area1,2
2563,C1771,3,10,368,9,9,749,9,2,Area1,2
5125,C1774,3,6,435,30,25,5158,30,2,Area1,2
3625,C1777,3,8,306,10,9,364,10,2,Area1,1
2500,C1782,3,9,406,8,8,396,8,2,Area1,3
3124,C1786,3,8,444,7,7,143,0,2,Area1,2
6419,C1791,3,6,343,40,33,857,40,1,Area1,2
2529,C1793,4,7,403,10,9,3716,6,1,Area1,1
3717,C1794,2,7,352,19,15,370,16,1,Area1,1
2581,C1796,4,8,367,14,12,1492,14,2,Area1,1
3000,C1800,3,10,457,12,12,1897,12,2,Area1,3
3437,C1801,3,6,385,13,14,1356,12,2,Area1,2
2562,C1803,3,5,435,7,7,1132,6,2,Area1,3
7536,C1804,3,5,345,9,9,113,2,2,Area1,1
4499,C1806,2,4,385,13,13,2784,13,2,Area2,1
3000,C1810,3,6,404,11,11,935,11,2,Area1,3
3313,C1812,3,4,378,17,17,401,17,2,Area1,2
4625,C1815,3,5,307,15,15,1058,15,2,Area1,3
2762,C1818,3,6,459,14,14,3068,12,2,Area1,3
7750,C1829,2,4,156,22,20,106,16,2,Area1,3
3500,C1833,3,7,469,3,3,1454,1,2,Area1,1
2563,C1834,3,7,213,14,7,2413,14,1,Area1,1
3000,C1836,3,7,366,16,16,2791,16,2,Area1,2
3625,C1842,4,5,445,21,20,902,21,2,Area1,3
2625,C1845,3,7,363,16,11,1266,16,2,Area1,3
3776,C1855,3,7,397,22,22,1265,22,2,Area2,3
6208,C1858,2,6,368,17,12,2816,12,2,Area1,3
6000,C1859,2,5,415,20,20,1340,20,2,Area1,2
2625,C1874,3,8,348,11,8,919,11,2,Area1,3
3656,C1875,3,6,366,10,10,933,8,2,Area1,1
3688,C1876,3,5,452,21,12,1777,21,1,Area1,3
3000,C1878,9,14,411,16,16,156,16,2,Area1,3
3931,C1884,4,8,468,16,16,1518,16,2,Area1,1
5000,C1885,3,7,207,24,22,427,24,2,Area1,3
